Genotype,oil 2019 (dry basis),oil 2020 (dry basis),protein 2019 (dry basis),protein 2020 (dry basis),protein plus oil 2019 (dry basis),protein plus oil 2020 (dry basis),Yield 2019 (grams),Yield 2020 (grams)
N10-687,NA,20.05,NA,44.52,NA,64.57,NA,1360.27
N18-1661,23.25,21.2,42.02,44.53,65.27,65.73,2416.1,1335.23
N18-1615,22.55,21.11,43.83,44.59,66.38,65.7,2228.9,1307.78
N18-1579,22.86,20.83,42.58,44.76,65.44,65.58,2434.67,1302.8
N18-1627,22.24,19.89,44.58,46.6,66.82,66.49,2319.38,1290.23
Dunphy,22.54,21.27,40.76,42.39,63.3,63.66,2332.64,1258.15
N18-1796,21.29,19.04,46.27,49.24,67.55,68.28,2382.03,1249.5
N18-1586,21.87,20.37,44.93,47.28,66.8,67.66,2280.72,1237.6
N18-1761,21.04,18.65,47.8,49.76,68.83,68.41,2140.57,1200.78
Ellis,NA,20.47,NA,43.26,NA,63.73,NA,1186.32
N18-1643,22.6,20.47,43.26,45.48,65.87,65.95,2409.85,1184.9
N18-1575,21.54,19.67,47.44,49.35,68.98,69.02,2295.48,1175.93
N18-1659,21.17,19.05,46.88,48.95,68.05,67.99,2303.32,1137.02
Osage,21.81,20.58,43.93,45.73,65.74,66.31,2281.13,1129.33
N18-1577,20.96,18.51,47.17,49.8,68.14,68.31,2155.11,1121.38
N09-09,21.2,19.46,46.28,46.79,67.48,66.25,2202.94,1098.22
N18-1783,22.26,20.28,44.63,47.07,66.89,67.35,2289.56,1093.72
N18-1628,20.55,18.72,48.32,50.26,68.87,68.98,2145.46,1067.37
N18-1769,21.09,18.33,46.57,49.22,67.66,67.55,2324.48,978.12
N18-1820,22.89,20.68,42.51,44.9,65.4,65.58,2387.73,950.02
